Geo,D4c,Year
530330059011,31.0,2050
530330059012,26.0,2050
530330059013,13.0,2050
530330059022,12.0,2050
530330059023,38.0,2050
530330060001,48.0,2050
530330060002,73.0,2050
530330060003,26.0,2050
530330060004,75.0,2050
530330061001,42.0,2050
530330061002,50.0,2050
530330061003,29.0,2050
530330061004,25.0,2050
530330061005,36.0,2050
530330062001,147.0,2050
530330062002,105.0,2050
530330062003,108.0,2050
530330063001,81.0,2050
530330063002,24.0,2050
530330063003,81.0,2050
530330064001,20.0,2050
530330064002,88.0,2050
530330064003,58.0,2050
530330065001,75.0,2050
530330065002,112.0,2050
530330065003,55.0,2050
530330066001,94.0,2050
530330066002,36.0,2050
530330066003,66.0,2050
530330067011,34.0,2050
530330067012,48.0,2050
530330067013,48.0,2050
530330067021,14.0,2050
530330067022,54.0,2050
530330067023,38.0,2050
530330067031,38.0,2050
530330067032,38.0,2050
530330067033,38.0,2050
530330068001,14.0,2050
530330068002,24.0,2050
530330068003,26.0,2050
530330069001,24.0,2050
530330069002,24.0,2050
530330069003,24.0,2050
530330070011,12.0,2050
530330070012,91.0,2050
530330070013,115.0,2050
530330070021,24.0,2050
530330070022,24.0,2050
530330070023,103.0,2050
530330071011,48.0,2050
530330071012,147.0,2050
530330071021,111.0,2050
530330071022,20.0,2050
530330072011,54.0,2050
530330072012,50.0,2050
530330072013,54.0,2050
530330072021,121.0,2050
530330072022,182.0,2050
530330072023,104.0,2050
530330072031,194.0,2050
530330072032,184.0,2050
530330073011,47.0,2050
530330073012,55.0,2050
530330073013,62.0,2050
530330073021,76.0,2050
530330073022,73.0,2050
530330073023,75.0,2050
530330073031,153.0,2050
530330073032,80.0,2050
530330073033,49.0,2050
530330074031,59.0,2050
530330074032,36.0,2050
530330074041,8.0,2050
530330074042,8.0,2050
530330074051,36.0,2050
530330074052,22.0,2050
530330074061,82.0,2050
530330074062,46.0,2050
530330075011,125.0,2050
530330075012,87.0,2050
530330075013,46.0,2050
530330075021,15.0,2050
530330075022,8.0,2050
530330075023,102.0,2050
530330075031,36.0,2050
530330075032,28.0,2050
530330076001,58.0,2050
530330076002,110.0,2050
530330076003,61.0,2050
530330077001,60.0,2050
530330077002,52.0,2050
530330077003,36.0,2050
530330077004,95.0,2050
530330078001,20.0,2050
530330078002,20.0,2050
530330078003,20.0,2050
530330078004,8.0,2050
530330079011,35.0,2050
530330079012,8.0,2050
530330079021,35.0,2050
530330079022,40.0,2050
530330079023,8.0,2050
530330080021,167.0,2050
530330080022,12.0,2050
530330080023,115.0,2050
530330080031,104.0,2050
530330080032,38.0,2050
530330080033,48.0,2050
530330080041,12.0,2050
530330080042,0.0,2050
530330080043,12.0,2050
530330081011,11.0,2050
530330081012,99.0,2050
530330081013,68.0,2050
530330081021,308.0,2050
530330081022,290.0,2050
530330082001,204.0,2050
530330082002,55.0,2050
530330082003,20.0,2050
530330083001,71.0,2050
530330083002,111.0,2050
530330084011,118.0,2050
530330084012,16.0,2050
530330084013,72.0,2050
530330084021,37.0,2050
530330084022,37.0,2050
530330084023,62.0,2050
530330085001,79.0,2050
530330085002,105.0,2050
530330085003,82.0,2050
530330086001,58.0,2050
530330086002,74.0,2050
530330086003,51.0,2050
530330086004,36.0,2050
530330087001,43.0,2050
530330087002,51.0,2050
530330087003,12.0,2050
530330088001,36.0,2050
530330088002,20.0,2050
530330088003,40.0,2050
530330089001,24.0,2050
530330089002,12.0,2050
530330089003,52.0,2050
530330089004,28.0,2050
530330090001,70.0,2050
530330090002,12.0,2050
530330090003,52.0,2050
530330091001,138.0,2050
530330091002,52.0,2050
530330092001,223.0,2050
530330092002,240.0,2050
530330093001,97.0,2050
530330093002,153.0,2050
